rms,peak,crest_factor,energy_50hz,energy_100hz,energy_150hz,label
0.29114168882369995,0.5025081634521484,1.7259918451309204,0.08494077622890472,0.08901192247867584,0.03631431981921196,0
0.30718037486076355,0.5594358444213867,1.8211965560913086,0.1144697517156601,0.06142374500632286,0.07223242521286011,0
0.33387258648872375,0.5482578277587891,1.642116904258728,0.296804815530777,0.08836304396390915,0.04853979870676994,0
0.33592817187309265,0.5632638931274414,1.6767390966415405,0.10411485284566879,0.16005739569664001,0.07802729308605194,0
0.3377777338027954,0.5769977569580078,1.7082172632217407,0.31317228078842163,0.19433124363422394,0.03980434685945511,0
0.3620541989803314,0.9270248413085938,2.5604586601257324,0.3412091135978699,0.42850786447525024,0.06403429061174393,0
0.35677704215049744,0.6112527847290039,1.713262677192688,0.29795002937316895,0.16194212436676025,0.041877903044223785,0
0.36006271839141846,0.5904855728149414,1.6399519443511963,0.35539495944976807,0.6786629557609558,0.06921689212322235,0
0.3724171817302704,0.9456391334533691,2.5391931533813477,0.09116849303245544,0.6543143391609192,0.07274028658866882,0
0.36500057578086853,0.9337778091430664,2.558291435241699,0.10121487081050873,0.8661049008369446,0.05804953724145889,0
0.3614112436771393,0.600224494934082,1.6607798337936401,0.21430103480815887,0.6885778903961182,0.07261427491903305,0
0.36074596643447876,0.5853729248046875,1.622673511505127,0.3337993621826172,0.28514841198921204,0.05187187343835831,0
0.366505891084671,0.5977096557617188,1.630832314491272,0.15421336889266968,0.09849563241004944,0.08488957583904266,0
0.36426010727882385,0.933497428894043,2.5627222061157227,0.13378576934337616,0.07796938717365265,0.09903194010257721,0
0.3764004707336426,0.6186141967773438,1.6435000896453857,0.0842234194278717,0.13453739881515503,0.0464775487780571,0
0.3937130570411682,0.9244165420532227,2.347944736480713,0.10740596801042557,0.19057144224643707,0.0744873657822609,0
0.3905893564224243,0.6459999084472656,1.6539106369018555,0.053703464567661285,0.10463700443506241,0.11321616172790527,0
0.3958812952041626,0.9271955490112305,2.342104911804199,0.10061095654964447,0.12371858954429626,0.12947097420692444,0
0.3841056525707245,0.6363868713378906,1.6568015813827515,0.07290206849575043,0.18161162734031677,0.12847602367401123,0
0.3894689679145813,0.6629905700683594,1.7022937536239624,0.0987154021859169,0.03447459265589714,0.08934950083494186,0
0.4017478823661804,0.9467134475708008,2.3564865589141846,0.19596433639526367,0.8226246237754822,0.08487804979085922,0
0.39930838346481323,0.6474857330322266,1.6215180158615112,0.09052285552024841,0.12979437410831451,0.11640424281358719,0
0.4038248360157013,0.9262895584106445,2.293790578842163,0.0908317118883133,0.12807747721672058,0.06446857750415802,0
0.4188093841075897,0.6489276885986328,1.549458384513855,0.22077295184135437,0.10903733968734741,0.08439068496227264,0
0.41136568784713745,0.6722040176391602,1.6340789794921875,0.12834732234477997,0.0842723622918129,0.11582896113395691,0
0.41913852095603943,0.9499845504760742,2.266516923904419,0.1462152749300003,0.11086281388998032,0.06808535754680634,0
0.4035801887512207,0.6142215728759766,1.5219318866729736,0.09986010938882828,0.10903963446617126,0.07713024318218231,0
0.4260149300098419,0.9817214012145996,2.304429531097412,0.12519146502017975,0.10852473974227905,0.13784174621105194,0
0.4079435169696808,0.6431093215942383,1.5764665603637695,0.07246831804513931,0.123867928981781,0.1113278791308403,0
